"Story","Title","Result","Date","Stability","Duration (s)"
"Refresh payment page","Should be able to","SUCCESS","2022-04-04T13:43:13.458589Z[Etc/UTC]","0.0","159.77"
"Select different country","Should be able to","SUCCESS","2022-04-04T13:45:53.553943Z[Etc/UTC]","0.0","171.46"
"Add product after applying coupon code and check the price","Should be able to","SUCCESS","2022-04-04T13:43:15.48529Z[Etc/UTC]","0.0","335.51"
"Change the number of product after applying coupon code and check the price","Should be able to","SUCCESS","2022-04-04T13:48:51.163254Z[Etc/UTC]","0.0","266.18"
"Delete coupon code","Should be able to","SUCCESS","2022-04-04T13:43:13.765944Z[Etc/UTC]","0.0","277.54"
"Delete a coupon code on the checkout page as a logged in user","Should be able to","SUCCESS","2022-04-04T13:47:51.48747Z[Etc/UTC]","0.0","249.07"
"Delete coupon code on the payment page","Should be able to","SUCCESS","2022-04-04T13:52:00.672651Z[Etc/UTC]","0.0","89.62"
"Delete a coupon code on the payment page","Should be able to","SUCCESS","2022-04-04T13:53:30.374178Z[Etc/UTC]","0.0","101.09"
"Enter coupon code on the checkout page","Should be able to","SUCCESS","2022-04-04T13:55:11.540308Z[Etc/UTC]","0.0","116.45"
"Enter coupon code on the payment page","Should be able to","SUCCESS","2022-04-04T13:57:08.072528Z[Etc/UTC]","0.0","64.4"
"Add product to cart and order","Should be able to","SUCCESS","2022-04-04T13:43:14.822241Z[Etc/UTC]","0.0","596.92"
"Add product to cart and order-3","Should be able to","SUCCESS","2022-04-04T13:43:14.549641Z[Etc/UTC]","0.0","644.77"
"Order products logged in-1","Should be able to","SUCCESS","2022-04-04T13:43:14.346231Z[Etc/UTC]","0.0","627.15"
"Order products logged in-2","Should be able to","SUCCESS","2022-04-04T13:43:13.781419Z[Etc/UTC]","0.0","612.06"
"Order products logged in-3","Should be able to","SUCCESS","2022-04-04T13:43:15.368701Z[Etc/UTC]","0.0","602.24"
"Apply filter and go to next page","Should be able to","SUCCESS","2022-04-04T13:43:14.692241Z[Etc/UTC]","0.0","137.09"
"Apply range filter","Should be able to","SUCCESS","2022-04-04T13:45:31.936209Z[Etc/UTC]","0.0","124.99"
"Clear filter","Should be able to","SUCCESS","2022-04-04T13:48:38.73914Z[Etc/UTC]","0.0","76.22"
"Log in","Should be able to","SUCCESS","2022-04-04T13:43:14.364794Z[Etc/UTC]","0.0","96.45"
"Log in and submit order","Should be able to","SUCCESS","2022-04-04T13:44:51.24607Z[Etc/UTC]","0.0","137.34"
"Log in using different email address","Should be able to","SUCCESS","2022-04-04T13:47:08.766159Z[Etc/UTC]","0.0","117.62"
"Log in with products in cart","Should be able to","SUCCESS","2022-04-04T13:49:06.558223Z[Etc/UTC]","0.0","87.5"
"Go to next page","Should be able to","SUCCESS","2022-04-04T13:43:12.795103Z[Etc/UTC]","0.0","175.37"
"Navigate Menu","Should be able to","SUCCESS","2022-04-04T13:46:08.347599Z[Etc/UTC]","0.0","39.97"
"Search by keyword","Should list items related to a specified keyword","SUCCESS","2022-04-04T13:46:48.478766Z[Etc/UTC]","0.0","30.99"
"Change page","Should be able to","SUCCESS","2022-04-04T13:47:19.601345Z[Etc/UTC]","0.0","125.77"
"Return after clicking a configurable product","Should be able to","SUCCESS","2022-04-04T13:43:14.227152Z[Etc/UTC]","0.0","148.91"
"Order after registration","Should be able to","SUCCESS","2022-04-04T13:43:12.887021Z[Etc/UTC]","0.0","168.24"
"Order after registration at checkout","Should be able to","SUCCESS","2022-04-04T13:46:01.591713Z[Etc/UTC]","0.0","165.2"
"Register a new address","Should be able to","SUCCESS","2022-04-04T13:48:46.965867Z[Etc/UTC]","0.0","48.1"
"Register at checkout","Should be able to","SUCCESS","2022-04-04T13:49:35.175912Z[Etc/UTC]","0.0","83.65"
"Sort products and go to next page","Should be able to","SUCCESS","2022-04-04T13:43:12.509408Z[Etc/UTC]","0.0","134.31"
"Sort products by price, highest first","Should be able to sort products with price by descending order, category page","SUCCESS","2022-04-04T13:45:27.008766Z[Etc/UTC]","0.0","77.81"
"Sort products by price, highest first","Should be able to sort products with price by descending order, search page","SUCCESS","2022-04-04T13:46:45.217481Z[Etc/UTC]","0.0","60.83"
"Sort products by price, lowest first","Should be able to sort products with price by ascending order, category page","SUCCESS","2022-04-04T13:47:46.161175Z[Etc/UTC]","0.0","66.23"
"Sort products by price, lowest first","Should be able to sort products with price by ascending order, search page","SUCCESS","2022-04-04T13:48:52.534021Z[Etc/UTC]","0.0","49.58"
"Add items to cart","Should add product from product page to minicart","SUCCESS","2022-04-04T13:43:14.962893Z[Etc/UTC]","0.0","98.63"
"Close cart","Should be able to","SUCCESS","2022-04-04T13:50:10.291245Z[Etc/UTC]","0.0","53.18"
"Delete from cart","Should be able to","SUCCESS","2022-04-04T13:51:03.557072Z[Etc/UTC]","0.0","49.66"
"Delete one product from cart and check total sum","Should be able to","SUCCESS","2022-04-04T13:43:14.023334Z[Etc/UTC]","0.0","537.86"
"Adding a new address to the address book","Should be able to","SUCCESS","2022-04-04T13:43:12.419694Z[Etc/UTC]","0.0","125.13"
"Deleting an address","Should be able to","SUCCESS","2022-04-04T13:45:18.077436Z[Etc/UTC]","0.0","63.5"
"Edit address","Should be able to","SUCCESS","2022-04-04T13:46:21.754602Z[Etc/UTC]","0.0","97.87"
"Logging out","Should be able to","SUCCESS","2022-04-04T13:47:59.831248Z[Etc/UTC]","0.0","63.91"
"See an order in My Account","Should be able to","SUCCESS","2022-04-04T13:49:03.855235Z[Etc/UTC]","0.0","50.0"
