"Story","Title","Result","Date","Stability","Duration (s)"
"Add two different products and go to checkout","Should be able to add two products from the same category","SUCCESS","2022-03-31T13:56:19.280471+02:00[Europe/Warsaw]","0.0","62.43"
"Add two different products and go to checkout","Should be able to add two products from different categories","SUCCESS","2022-03-31T13:57:21.849507+02:00[Europe/Warsaw]","0.0","55.65"
"Go to checkout using pickup delivery","Select Koszalin","PENDING","2022-03-31T13:58:17.605038+02:00[Europe/Warsaw]","0.0","27.62"
"Go to checkout using pickup delivery","Select  Słupsk","PENDING","2022-03-31T13:58:45.297478+02:00[Europe/Warsaw]","0.0","25.7"
"Go to checkout using pickup delivery","Select Szczecin","PENDING","2022-03-31T13:59:11.084712+02:00[Europe/Warsaw]","0.0","25.34"
"Go to checkout using pickup delivery","Select Piła","PENDING","2022-03-31T13:59:36.499704+02:00[Europe/Warsaw]","0.0","27.18"
"Go to checkout using pickup delivery","Select Toruń","PENDING","2022-03-31T14:00:03.749054+02:00[Europe/Warsaw]","0.0","27.22"
"Go to checkout using pickup delivery","Select Bydgoszcz","PENDING","2022-03-31T14:00:31.057108+02:00[Europe/Warsaw]","0.0","25.9"
"Go to checkout using pickup delivery","Select Wrocław","PENDING","2022-03-31T14:00:57.0242+02:00[Europe/Warsaw]","0.0","27.12"
"Refresh payment page","Should be able to","SUCCESS","2022-03-31T14:01:24.216019+02:00[Europe/Warsaw]","0.0","57.89"
"Select different country","Should be able to","SUCCESS","2022-03-31T14:02:22.17612+02:00[Europe/Warsaw]","0.0","77.25"
